13:46:41.869 [INFO    ][deluge.configmanager:52  ] Setting config directory to: /config
13:46:42.098 [INFO    ][deluge.core.daemon            :69  ] Deluge daemon 2.0.4.dev20
13:46:42.099 [WARNING ][deluge.core.core              :73  ] Unable to load /config/session.state: [Errno 2] No such file or directory: '/config/session.state'
13:46:42.100 [WARNING ][deluge.core.core              :73  ] Unable to load /config/session.state.bak: [Errno 2] No such file or directory: '/config/session.state.bak'
13:46:42.102 [INFO    ][deluge.core.alertmanager      :69  ] Alert Queue Size set to 10000
13:46:42.115 [INFO    ][deluge.core.rpcserver         :69  ] Starting DelugeRPC server :58846
13:46:42.117 [INFO    ][twisted                       :154 ] Factory (TLS) starting on 58846
13:46:42.117 [INFO    ][twisted                       :154 ] Starting factory <twisted.internet.protocol.Factory object at 0x7fdd3c18c670>
13:46:42.119 [INFO    ][deluge.core.daemon            :69  ] Deluge daemon starting...
13:46:42.122 [INFO    ][deluge.core.authmanager       :69  ] Opening auth for load: /config/auth
13:46:42.123 [INFO    ][deluge.core.authmanager       :69  ] Successfully loaded auth: /config/auth
13:46:42.123 [WARNING ][deluge.core.torrentmanager    :73  ] Bad shutdown detected so archiving state files
13:46:42.124 [WARNING ][deluge.common                 :195 ] Too many existing archives for state. Deleting oldest archive.
13:46:42.233 [INFO    ][deluge.core.torrentmanager    :69  ] Loading torrent state: /config/state/torrents.state
13:46:42.233 [INFO    ][deluge.core.torrentmanager    :69  ] Successfully loaded /config/state/torrents.state
13:46:42.234 [INFO    ][deluge.core.torrentmanager    :69  ] Opening torrents.fastresume for load: /config/state/torrents.fastresume
13:46:42.236 [INFO    ][deluge.core.torrentmanager    :69  ] Successfully loaded torrents.fastresume: /config/state/torrents.fastresume
13:46:42.426 [INFO    ][deluge.core.torrentmanager    :69  ] Torrent Harry Potter à l'école des sorciers HEVC 10bits MULTI (VO + VFF) Version Longue from user "localclient" loaded
13:46:42.427 [INFO    ][deluge.core.torrentmanager    :69  ] Torrent Harry Potter et la chambre des secrets HEVC 10bits MULTI (VO + VFF) Version Longue from user "localclient" loaded
13:46:42.427 [INFO    ][deluge.core.torrentmanager    :69  ] Torrent Harry Potter et le Prisonnier d'Azkaban - 3 (2004) [1080p BluRay] [FR(VFF)-EN] [x265 10-bit AC3] [GWEN].mkv from user "localclient" loaded
13:46:42.429 [INFO    ][deluge.core.torrentmanager    :69  ] Torrent Person Of Interest from user "localclient" loaded
13:46:42.430 [INFO    ][deluge.core.torrentmanager    :69  ] Torrent Power.Book.II.Ghost.S01E09.VOSTFR.1080p.AMZN.WEB-DL.DDP5.1.H.264-GOLD.mkv from user "localclient" loaded
13:46:42.430 [INFO    ][deluge.core.torrentmanager    :69  ] Torrent Power.Book.II.Ghost.S01E08.VOSTFR.1080p.AMZN.WEB-DL.DDP5.1.H.264-GOLD.mkv from user "localclient" loaded
13:46:42.431 [INFO    ][deluge.core.torrentmanager    :69  ] Torrent Power.Book.II.Ghost.S01E07.VOSTFR.1080p.AMZN.WEB-DL.DDP5.1.H.264-GOLD.mkv from user "localclient" loaded
13:46:42.432 [INFO    ][deluge.core.torrentmanager    :69  ] Torrent Power.Book.II.Ghost.S01E06.VOSTFR.1080p.AMZN.WEB-DL.DDP5.1.H.264-GOLD.mkv from user "localclient" loaded
